payment_id_PK,customer_id_FK,payment_method,date,amount
1,1376,bank card,01.01.2020 01:25 AM,25.0
2,1,bank card,01.01.2020 01:33 AM,90.0
3,24,from terminal,01.01.2020 01:46 AM,26.0
4,394,bank card,01.01.2020 01:51 AM,26.0
5,124,bank card,01.01.2020 02:36 AM,22.0
6,1061,bank card,01.01.2020 03:03 AM,140.0
7,948,from terminal,01.01.2020 05:55 AM,21.0
8,906,from another phone,01.01.2020 05:56 AM,23.0
9,1302,bank card,01.01.2020 01:04 PM,22.0
10,940,bank card,01.01.2020 01:06 PM,24.0
11,1061,bank card,01.01.2020 01:18 PM,25.0
12,753,bank card,01.01.2020 01:46 PM,90.0
13,1116,bank card,01.01.2020 02:51 PM,90.0
14,697,bank card,01.01.2020 02:58 PM,19.0
15,494,from terminal,01.01.2020 03:38 PM,22.0
16,393,from terminal,01.01.2020 03:42 PM,21.0
17,1268,bank card,01.01.2020 03:49 PM,23.0
18,407,bank card,01.01.2020 04:16 PM,21.0
19,58,bank card,01.01.2020 04:24 PM,15.0
20,446,from another phone,01.01.2020 05:26 PM,21.0
21,1115,from another phone,01.01.2020 06:05 PM,21.0
22,62,bank card,01.01.2020 06:28 PM,25.0
23,786,bank card,01.01.2020 07:00 PM,22.0
24,1000,bank card,01.01.2020 07:56 PM,25.0
25,844,bank card,01.01.2020 11:13 PM,20.0
26,698,bank card,01.01.2020 12:42 PM,50.0
27,873,from terminal,02.01.2020 01:01 AM,24.0
28,218,bank card,02.01.2020 02:54 AM,21.0
29,188,bank card,02.01.2020 03:54 AM,25.0
30,78,from terminal,02.01.2020 04:46 AM,23.0
31,1311,bank card,02.01.2020 04:57 AM,140.0
32,437,from terminal,02.01.2020 05:12 AM,23.0
33,805,bank card,02.01.2020 05:47 AM,19.0
34,1022,bank card,02.01.2020 07:47 AM,26.0
35,1047,bank card,02.01.2020 09:10 AM,21.0
36,14,bank card,02.01.2020 09:16 AM,10.0
37,973,bank card,02.01.2020 09:55 AM,50.0
38,615,bank card,02.01.2020 11:53 AM,50.0
39,819,bank card,02.01.2020 01:58 PM,24.0
40,1257,from terminal,02.01.2020 02:05 PM,15.0
41,1383,bank card,02.01.2020 03:06 PM,25.0
42,322,from terminal,02.01.2020 03:17 PM,10.0
43,996,from terminal,02.01.2020 04:10 PM,24.0
44,199,from terminal,02.01.2020 05:13 PM,50.0
45,1381,from another phone,02.01.2020 06:15 PM,22.0
46,333,from another phone,02.01.2020 06:42 PM,26.0
47,318,bank card,02.01.2020 07:25 PM,21.0
48,569,bank card,02.01.2020 07:48 PM,140.0
49,449,bank card,02.01.2020 08:36 PM,20.0
50,1052,from terminal,02.01.2020 08:39 PM,90.0
51,1168,bank card,02.01.2020 08:44 PM,24.0
52,904,from terminal,02.01.2020 09:43 PM,22.0
53,1023,bank card,02.01.2020 09:48 PM,50.0
54,873,from terminal,02.01.2020 09:48 PM,26.0
55,1304,bank card,02.01.2020 10:28 PM,21.0
56,1149,bank card,02.01.2020 10:41 PM,10.0
57,50,bank card,03.01.2020 01:15 AM,50.0
58,1388,bank card,03.01.2020 01:41 AM,21.0
59,506,from terminal,03.01.2020 02:12 AM,50.0
60,1110,bank card,03.01.2020 03:03 AM,23.0
61,25,bank card,03.01.2020 04:20 AM,25.0
62,1084,bank card,03.01.2020 04:25 AM,10.0
63,520,bank card,03.01.2020 04:31 AM,140.0
64,130,from terminal,03.01.2020 05:47 AM,27.0
65,119,bank card,03.01.2020 05:59 AM,21.0
66,676,from another phone,03.01.2020 06:51 AM,15.0
67,1024,bank card,03.01.2020 07:15 AM,20.0
68,119,from terminal,03.01.2020 09:23 AM,10.0
69,1338,from terminal,03.01.2020 09:29 AM,15.0
70,167,from terminal,03.01.2020 09:57 AM,22.0
71,344,bank card,03.01.2020 10:06 AM,22.0
72,380,bank card,03.01.2020 10:22 AM,50.0
73,867,from terminal,03.01.2020 10:42 AM,26.0
74,379,from terminal,03.01.2020 11:33 AM,50.0
75,349,bank card,03.01.2020 12:07 AM,50.0
76,1227,from terminal,03.01.2020 12:25 AM,21.0
77,410,bank card,03.01.2020 12:36 AM,140.0
78,412,bank card,03.01.2020 12:42 AM,24.0
79,668,from terminal,03.01.2020 03:27 PM,22.0
80,244,bank card,03.01.2020 03:59 PM,20.0
81,107,bank card,03.01.2020 05:16 PM,50.0
82,1050,from terminal,03.01.2020 05:46 PM,25.0
83,1051,bank card,03.01.2020 05:47 PM,140.0
84,399,bank card,03.01.2020 08:13 PM,15.0
85,694,bank card,03.01.2020 09:21 PM,22.0
86,827,from terminal,03.01.2020 09:57 PM,21.0
87,441,bank card,03.01.2020 10:08 PM,25.0
88,430,from terminal,03.01.2020 10:12 PM,10.0
89,691,bank card,04.01.2020 01:49 AM,90.0
90,526,from another phone,04.01.2020 02:15 AM,15.0
91,691,bank card,04.01.2020 02:33 AM,25.0
92,968,bank card,04.01.2020 02:35 AM,27.0
93,1398,bank card,04.01.2020 02:50 AM,27.0
94,388,bank card,04.01.2020 04:25 AM,21.0
95,1144,bank card,04.01.2020 05:03 AM,25.0
96,402,bank card,04.01.2020 05:59 AM,21.0
97,20,bank card,04.01.2020 06:15 AM,15.0
98,900,bank card,04.01.2020 06:39 AM,23.0
99,662,bank card,04.01.2020 08:15 AM,23.0
100,1344,from another phone,04.01.2020 08:25 AM,22.0
